source_dataset,borough,rank,pub_name,pint_name,price_text,price_gbp,pub_url,borough_url,estimated_average_price_text,scraped_at,address,phone_number,latitude,longitude,pint_position_for_pub
borough_pint_prices,Barnet,1,Finchley United Services Club Ltd,FOSTERS,£3.20,3.2,"https://www.pint-prices.com/pub/St%20Kilda,%20307%20Ballards%20Ln,%20London%20N12%208LY,%20UK/Finchley%20United%20Services%20Club%20Ltd",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,,,,,
borough_pint_prices,Barnet,2,Finchley United Services Club Ltd,CARLING,£3.20,3.2,"https://www.pint-prices.com/pub/St%20Kilda,%20307%20Ballards%20Ln,%20London%20N12%208LY,%20UK/Finchley%20United%20Services%20Club%20Ltd",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,,,,,
borough_pint_prices,Barnet,3,Finchley United Services Club Ltd,STRONGBOW,£3.20,3.2,"https://www.pint-prices.com/pub/St%20Kilda,%20307%20Ballards%20Ln,%20London%20N12%208LY,%20UK/Finchley%20United%20Services%20Club%20Ltd",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,,,,,
borough_pint_prices,Barnet,4,The Bohemia,CASK ALE,£4.70,4.7,"https://www.pint-prices.com/pub/762-764%20High%20Rd,%20London%20N12%209QH,%20UK/The%20Bohemia",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,,,,,
borough_pint_prices,Barnet,5,Arnos Arms,AMSTEL,£5.50,5.5,"https://www.pint-prices.com/pub/338%20Bowes%20Road,%20Arnos%20Grove,%20London,%20N11%201AN/Arnos%20Arms",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,,,,,
borough_pint_prices,Barnet,6,Arnos Arms,LANDLORD,£5.70,5.7,"https://www.pint-prices.com/pub/338%20Bowes%20Road,%20Arnos%20Grove,%20London,%20N11%201AN/Arnos%20Arms",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,,,,,
borough_pint_prices,Barnet,7,The Bohemia,KEG ALE,£5.95,5.95,"https://www.pint-prices.com/pub/762-764%20High%20Rd,%20London%20N12%209QH,%20UK/The%20Bohemia",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,,,,,
borough_pint_prices,Barnet,8,Arnos Arms,HEINEKEN,£6.50,6.5,"https://www.pint-prices.com/pub/338%20Bowes%20Road,%20Arnos%20Grove,%20London,%20N11%201AN/Arnos%20Arms",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,,,,,
borough_pint_prices,Barnet,9,Arnos Arms,BIRRA MORETTI,£6.60,6.6,"https://www.pint-prices.com/pub/338%20Bowes%20Road,%20Arnos%20Grove,%20London,%20N11%201AN/Arnos%20Arms",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,,,,,
borough_pint_prices,Barnet,10,The Elephant Inn,GUINNESS,£6.70,6.7,https://www.pint-prices.com/pub/N12%208NR/The%20Elephant%20Inn,https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,,,,,
borough_pint_prices,Barnet,11,Arnos Arms,NECK OIL,£6.80,6.8,"https://www.pint-prices.com/pub/338%20Bowes%20Road,%20Arnos%20Grove,%20London,%20N11%201AN/Arnos%20Arms",https://www.pint-prices.com/borough-results/Barnet,£5.28,2026-07-03T23:10:47+00:00,,,,,
borough_pint_prices,Bexley,1,The Wrong Un - JD Wetherspoon,BUD LIGHT,£2.59,2.59,"https://www.pint-prices.com/pub/234-236%20Broadway,%20Bexleyheath%20DA6%208AS,%20UK/The%20Wrong%20Un%20-%20JD%20Wetherspoon",https://www.pint-prices.com/borough-results/Bexley,£4.33,2026-07-03T23:10:47+00:00,,,,,
borough_pint_prices,Bexley,2,The Furze Wren - JD Wetherspoon,BUD LIGHT,£2.59,2.59,"https://www.pint-prices.com/pub/Broadway%20Square,%20Bexleyheath%20Shopping%20Centre,%206%20Market%20Pl,%20Bexleyheath%20DA6%207DY,%20UK/The%20Furze%20Wren%20-%20JD%20Wetherspoon",https://www.pint-prices.com/borough-results/Bexley,£4.33,2026-07-03T23:10:47+00:00,,,,,
