app_price_id,pub_name,pint_name,price_gbp,price_text,address,latitude,longitude,boroughs_visible,boroughs_raw_embedded,boroughs_raw_embedded_non_anomaly,boroughs_raw_embedded_site_anomaly,boroughs_all_sources,primary_borough,rank_visible_borough,estimated_average_price_text,pub_url,constructed_pub_url,borough_urls,pub_key,pint_position_for_pub,phone_number,email,website,booking_link,image_url,description,comment,food,cocktails,beer_garden,live_sports,live_music,pub_quiz,darts,pool,happy_hour,karaoke,cool,locality,source_datasets,source_row_count,visible_borough_source_row_count,raw_embedded_source_row_count,individual_pub_page_source_row_count,has_visible_borough_row,has_raw_embedded_map_row,has_individual_pub_page_row,is_clean_canonical_app_row,data_quality_notes,scraped_at_values
app_price_000001,Arnos Arms,AMSTEL,5.5,£5.50,"338 Bowes Road, Arnos Grove, London, N11 1AN",51.6162,-0.132117,Barnet|Haringey,Barnet|Haringey|Havering|Hillingdon|Redbridge,Barnet|Haringey,Havering|Hillingdon|Redbridge,Barnet|Haringey|Havering|Hillingdon|Redbridge,Barnet,5,£5.28,"https://www.pint-prices.com/pub/338%20Bowes%20Road,%20Arnos%20Grove,%20London,%20N11%201AN/Arnos%20Arms",https://www.pint-prices.com/pub/338%20Bowes%20Road%2C%20Arnos%20Grove%2C%20London%2C%20N11%201AN/Arnos%20Arms,https://www.pint-prices.com/borough-results/Barnet|https://www.pint-prices.com/borough-results/Haringey|https://www.pint-prices.com/borough-results/Havering|https://www.pint-prices.com/borough-results/Hillingdon|https://www.pint-prices.com/borough-results/Redbridge,Arnos Arms51.6162,1,0208 368 4456,arnosarms@craftlocals.com,,,,,,,,,,,,,,,,,,canonical_borough_leaderboard_enriched|borough_embedded_map_data_raw|individual_pub_page,8,2,5,1,True,True,True,True,raw_embedded_includes_site_anomaly_borough,2026-07-03T23:10:47+00:00
app_price_000002,Arnos Arms,BIRRA MORETTI,6.6,£6.60,"338 Bowes Road, Arnos Grove, London, N11 1AN",51.6162,-0.132117,Barnet|Haringey,Barnet|Haringey|Havering|Hillingdon|Redbridge,Barnet|Haringey,Havering|Hillingdon|Redbridge,Barnet|Haringey|Havering|Hillingdon|Redbridge,Barnet,9,£5.28,"https://www.pint-prices.com/pub/338%20Bowes%20Road,%20Arnos%20Grove,%20London,%20N11%201AN/Arnos%20Arms",https://www.pint-prices.com/pub/338%20Bowes%20Road%2C%20Arnos%20Grove%2C%20London%2C%20N11%201AN/Arnos%20Arms,https://www.pint-prices.com/borough-results/Barnet|https://www.pint-prices.com/borough-results/Haringey|https://www.pint-prices.com/borough-results/Havering|https://www.pint-prices.com/borough-results/Hillingdon|https://www.pint-prices.com/borough-results/Redbridge,Arnos Arms51.6162,4,0208 368 4456,arnosarms@craftlocals.com,,,,,,,,,,,,,,,,,,canonical_borough_leaderboard_enriched|borough_embedded_map_data_raw|individual_pub_page,8,2,5,1,True,True,True,True,raw_embedded_includes_site_anomaly_borough,2026-07-03T23:10:47+00:00
app_price_000003,Arnos Arms,HEINEKEN,6.5,£6.50,"338 Bowes Road, Arnos Grove, London, N11 1AN",51.6162,-0.132117,Barnet|Haringey,Barnet|Haringey|Havering|Hillingdon|Redbridge,Barnet|Haringey,Havering|Hillingdon|Redbridge,Barnet|Haringey|Havering|Hillingdon|Redbridge,Barnet,8,£5.28,"https://www.pint-prices.com/pub/338%20Bowes%20Road,%20Arnos%20Grove,%20London,%20N11%201AN/Arnos%20Arms",https://www.pint-prices.com/pub/338%20Bowes%20Road%2C%20Arnos%20Grove%2C%20London%2C%20N11%201AN/Arnos%20Arms,https://www.pint-prices.com/borough-results/Barnet|https://www.pint-prices.com/borough-results/Haringey|https://www.pint-prices.com/borough-results/Havering|https://www.pint-prices.com/borough-results/Hillingdon|https://www.pint-prices.com/borough-results/Redbridge,Arnos Arms51.6162,3,0208 368 4456,arnosarms@craftlocals.com,,,,,,,,,,,,,,,,,,canonical_borough_leaderboard_enriched|borough_embedded_map_data_raw|individual_pub_page,8,2,5,1,True,True,True,True,raw_embedded_includes_site_anomaly_borough,2026-07-03T23:10:47+00:00
app_price_000004,Arnos Arms,LANDLORD,5.7,£5.70,"338 Bowes Road, Arnos Grove, London, N11 1AN",51.6162,-0.132117,Barnet|Haringey,Barnet|Haringey|Havering|Hillingdon|Redbridge,Barnet|Haringey,Havering|Hillingdon|Redbridge,Barnet|Haringey|Havering|Hillingdon|Redbridge,Barnet,6,£5.28,"https://www.pint-prices.com/pub/338%20Bowes%20Road,%20Arnos%20Grove,%20London,%20N11%201AN/Arnos%20Arms",https://www.pint-prices.com/pub/338%20Bowes%20Road%2C%20Arnos%20Grove%2C%20London%2C%20N11%201AN/Arnos%20Arms,https://www.pint-prices.com/borough-results/Barnet|https://www.pint-prices.com/borough-results/Haringey|https://www.pint-prices.com/borough-results/Havering|https://www.pint-prices.com/borough-results/Hillingdon|https://www.pint-prices.com/borough-results/Redbridge,Arnos Arms51.6162,2,0208 368 4456,arnosarms@craftlocals.com,,,,,,,,,,,,,,,,,,canonical_borough_leaderboard_enriched|borough_embedded_map_data_raw|individual_pub_page,8,2,5,1,True,True,True,True,raw_embedded_includes_site_anomaly_borough,2026-07-03T23:10:47+00:00
app_price_000005,Arnos Arms,NECK OIL,6.8,£6.80,"338 Bowes Road, Arnos Grove, London, N11 1AN",51.6162,-0.132117,Barnet|Haringey,Barnet|Haringey|Havering|Hillingdon|Redbridge,Barnet|Haringey,Havering|Hillingdon|Redbridge,Barnet|Haringey|Havering|Hillingdon|Redbridge,Barnet,11,£5.28,"https://www.pint-prices.com/pub/338%20Bowes%20Road,%20Arnos%20Grove,%20London,%20N11%201AN/Arnos%20Arms",https://www.pint-prices.com/pub/338%20Bowes%20Road%2C%20Arnos%20Grove%2C%20London%2C%20N11%201AN/Arnos%20Arms,https://www.pint-prices.com/borough-results/Barnet|https://www.pint-prices.com/borough-results/Haringey|https://www.pint-prices.com/borough-results/Havering|https://www.pint-prices.com/borough-results/Hillingdon|https://www.pint-prices.com/borough-results/Redbridge,Arnos Arms51.6162,5,0208 368 4456,arnosarms@craftlocals.com,,,,,,,,,,,,,,,,,,canonical_borough_leaderboard_enriched|borough_embedded_map_data_raw|individual_pub_page,8,2,5,1,True,True,True,True,raw_embedded_includes_site_anomaly_borough,2026-07-03T23:10:47+00:00
app_price_000006,Finchley United Services Club Ltd,CARLING,3.2,£3.20,"St Kilda, 307 Ballards Ln, London N12 8LY, UK",51.6125,-0.178148,Barnet,Barnet|Havering|Hillingdon|Redbridge,Barnet,Havering|Hillingdon|Redbridge,Barnet|Havering|Hillingdon|Redbridge,Barnet,2,£5.28,"https://www.pint-prices.com/pub/St%20Kilda,%20307%20Ballards%20Ln,%20London%20N12%208LY,%20UK/Finchley%20United%20Services%20Club%20Ltd",https://www.pint-prices.com/pub/St%20Kilda%2C%20307%20Ballards%20Ln%2C%20London%20N12%208LY%2C%20UK/Finchley%20United%20Services%20Club%20Ltd,https://www.pint-prices.com/borough-results/Barnet|https://www.pint-prices.com/borough-results/Havering|https://www.pint-prices.com/borough-results/Hillingdon|https://www.pint-prices.com/borough-results/Redbridge,Finchley United Services Club Ltd51.6125,2,020 8445 3542,Facebook or phone,,,,,,,,,,,,,,,,,,canonical_borough_leaderboard_enriched|borough_embedded_map_data_raw|individual_pub_page,6,1,4,1,True,True,True,True,raw_embedded_includes_site_anomaly_borough,2026-07-03T23:10:47+00:00
app_price_000007,Finchley United Services Club Ltd,FOSTERS,3.2,£3.20,"St Kilda, 307 Ballards Ln, London N12 8LY, UK",51.6125,-0.178148,Barnet,Barnet|Havering|Hillingdon|Redbridge,Barnet,Havering|Hillingdon|Redbridge,Barnet|Havering|Hillingdon|Redbridge,Barnet,1,£5.28,"https://www.pint-prices.com/pub/St%20Kilda,%20307%20Ballards%20Ln,%20London%20N12%208LY,%20UK/Finchley%20United%20Services%20Club%20Ltd",https://www.pint-prices.com/pub/St%20Kilda%2C%20307%20Ballards%20Ln%2C%20London%20N12%208LY%2C%20UK/Finchley%20United%20Services%20Club%20Ltd,https://www.pint-prices.com/borough-results/Barnet|https://www.pint-prices.com/borough-results/Havering|https://www.pint-prices.com/borough-results/Hillingdon|https://www.pint-prices.com/borough-results/Redbridge,Finchley United Services Club Ltd51.6125,1,020 8445 3542,Facebook or phone,,,,,,,,,,,,,,,,,,canonical_borough_leaderboard_enriched|borough_embedded_map_data_raw|individual_pub_page,6,1,4,1,True,True,True,True,raw_embedded_includes_site_anomaly_borough,2026-07-03T23:10:47+00:00
app_price_000008,Finchley United Services Club Ltd,STRONGBOW,3.2,£3.20,"St Kilda, 307 Ballards Ln, London N12 8LY, UK",51.6125,-0.178148,Barnet,Barnet|Havering|Hillingdon|Redbridge,Barnet,Havering|Hillingdon|Redbridge,Barnet|Havering|Hillingdon|Redbridge,Barnet,3,£5.28,"https://www.pint-prices.com/pub/St%20Kilda,%20307%20Ballards%20Ln,%20London%20N12%208LY,%20UK/Finchley%20United%20Services%20Club%20Ltd",https://www.pint-prices.com/pub/St%20Kilda%2C%20307%20Ballards%20Ln%2C%20London%20N12%208LY%2C%20UK/Finchley%20United%20Services%20Club%20Ltd,https://www.pint-prices.com/borough-results/Barnet|https://www.pint-prices.com/borough-results/Havering|https://www.pint-prices.com/borough-results/Hillingdon|https://www.pint-prices.com/borough-results/Redbridge,Finchley United Services Club Ltd51.6125,3,020 8445 3542,Facebook or phone,,,,,,,,,,,,,,,,,,canonical_borough_leaderboard_enriched|borough_embedded_map_data_raw|individual_pub_page,6,1,4,1,True,True,True,True,raw_embedded_includes_site_anomaly_borough,2026-07-03T23:10:47+00:00
app_price_000009,The Bohemia,CASK ALE,4.7,£4.70,"762-764 High Rd, London N12 9QH, UK",51.6153,-0.176423,Barnet,Barnet|Havering|Hillingdon|Redbridge,Barnet,Havering|Hillingdon|Redbridge,Barnet|Havering|Hillingdon|Redbridge,Barnet,4,£5.28,"https://www.pint-prices.com/pub/762-764%20High%20Rd,%20London%20N12%209QH,%20UK/The%20Bohemia",https://www.pint-prices.com/pub/762-764%20High%20Rd%2C%20London%20N12%209QH%2C%20UK/The%20Bohemia,https://www.pint-prices.com/borough-results/Barnet|https://www.pint-prices.com/borough-results/Havering|https://www.pint-prices.com/borough-results/Hillingdon|https://www.pint-prices.com/borough-results/Redbridge,The Bohemia51.6153,1,020 8446 0294,info@thebohemia.co.uk,,,,,,,,,,,,,,,,,,canonical_borough_leaderboard_enriched|borough_embedded_map_data_raw|individual_pub_page,6,1,4,1,True,True,True,True,raw_embedded_includes_site_anomaly_borough,2026-07-03T23:10:47+00:00
app_price_000010,The Bohemia,KEG ALE,5.95,£5.95,"762-764 High Rd, London N12 9QH, UK",51.6153,-0.176423,Barnet,Barnet|Havering|Hillingdon|Redbridge,Barnet,Havering|Hillingdon|Redbridge,Barnet|Havering|Hillingdon|Redbridge,Barnet,7,£5.28,"https://www.pint-prices.com/pub/762-764%20High%20Rd,%20London%20N12%209QH,%20UK/The%20Bohemia",https://www.pint-prices.com/pub/762-764%20High%20Rd%2C%20London%20N12%209QH%2C%20UK/The%20Bohemia,https://www.pint-prices.com/borough-results/Barnet|https://www.pint-prices.com/borough-results/Havering|https://www.pint-prices.com/borough-results/Hillingdon|https://www.pint-prices.com/borough-results/Redbridge,The Bohemia51.6153,2,020 8446 0294,info@thebohemia.co.uk,,,,,,,,,,,,,,,,,,canonical_borough_leaderboard_enriched|borough_embedded_map_data_raw|individual_pub_page,6,1,4,1,True,True,True,True,raw_embedded_includes_site_anomaly_borough,2026-07-03T23:10:47+00:00
