location_source_dataset,borough,pub_name,name,address,latitude,longitude,phone_number,email,website,booking_link,image_url,description,food,cocktails,beer_garden,live_sports,live_music,pub_quiz,darts,pool,happy_hour,karaoke,cool,locality,constructed_pub_url,pub_url,borough_url
borough_embedded_map_data_raw,City of London,1 Lombard Street Bar & Restaurant Bank,1 Lombard Street Bar & Restaurant Bank,"1 Lombard St, London EC3V 9AA, UK",51.5131,-0.0889625,020 7929 6611,events@1lombardstreet.com,https://www.1lombardstreet.com/?utm_source=GMB&utm_medium=website%20click&utm_campaign=SDM&utm_id=GM,https://www.sevenrooms.com/reservations/1lombardstreet,https://images.app.goo.gl/MH4WoLGDeuijVJFt8,"1 Lombard Street Bar & Restaurant Bank is where the city meets for breakfast, lunch, dinner, and Saturday brunch in London's historic Square Mile. This pub offers effortlessly elegant all-day dining, with a cool atmosphere perfect for any occasion. You can enjoy delicious food and cocktails while experiencing top-notch service. Make a booking via their website and immerse yourself in the vibrant atmosphere of 1 Lombard Street.",Yes,Yes,,,,,,,,,Yes,,https://www.pint-prices.com/pub/1%20Lombard%20St%2C%20London%20EC3V%209AA%2C%20UK/1%20Lombard%20Street%20Bar%20%26%20Restaurant%20Bank,,https://www.pint-prices.com/borough-results/City%20of%20London
borough_embedded_map_data_raw,Havering,Adam & Eve (St James),Adam & Eve (St James),"81 Petty France, SW1H 9EX",51.4995,-0.135676,,,https://www.greeneking.co.uk/pubs/greater-london/adam-and-eve,,https://gkbr-p-001.sitecorecontenthub.cloud/api/public/content/08493876bec645bdbe57cc0433d1dba7?v=c69e6935&t=w1540,"Welcome to The Adam & Eve Pub Restaurant in St James! This 18th-century pub with original features and a beer garden in the heart of Westminster is the perfect spot for enjoying real ales, traditional food, and a family-friendly environment. With top-notch amenities including being dog-friendly, family-friendly, showing Sky Sports, and offering a beer garden and WiFi, The Adam & Eve has everything you need for a great time. Join us for the Euros and enjoy a free Peroni Nastro Azzurro when you sign up for our mailing list. Don't miss out on our new menu, live sports events, and special Father's Day celebrations. Book your table now and experience the unbeatable pub atmosphere at The Adam & Eve!",Yes,Yes,Yes,Yes,,,,,,,,,https://www.pint-prices.com/pub/81%20Petty%20France%2C%20SW1H%209EX/Adam%20%26%20Eve%20%28St%20James%29,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Adam and Eve,Adam and Eve,W1T 3QQ,51.4696,-1.04477,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/W1T%203QQ/Adam%20and%20Eve,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Albert (Victoria),Albert (Victoria),"52 Victoria Street, SW1H 0NP",51.4977,-0.135558,,,https://www.greeneking.co.uk/pubs/greater-london/albert,https://www.greeneking.co.uk/pubs/greater-london/albert/book,https://gkbr-p-001.sitecorecontenthub.cloud/api/public/content/1bd743faf5a847a792ff4f90a97a11c1?v=f6b0ce40&t=w1540,"Located in the heart of Victoria, The Albert is a quintessential friendly British pub with a twist of architectural grandeur. This bustling four-storey pub retains a spacious, accommodating atmosphere, making it a perfect spot for a post-work pint, a family get-together, or a night out with friends. With a rich history dating back to 1862, The Albert survived The Blitz during World War II, preserving its Victorian features like ornate ceilings and hand-etched frosted glass windows. Whether you're a football fan looking for a place to watch live sports, a foodie in search of honest, quality pub food, or a tourist exploring the sights of Westminster, The Albert offers a warm and inviting atmosphere for all. Join us for a drink, indulge in delicious dishes, and experience a genuine slice of English heritage at The Albert in Victoria.",Yes,Yes,,Yes,,,,,,,,,https://www.pint-prices.com/pub/52%20Victoria%20Street%2C%20SW1H%200NP/Albert%20%28Victoria%29,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,Havering,Aldingbourne Social Club,Aldingbourne Social Club,PO20 3YA,50.8379,-0.670929,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/PO20%203YA/Aldingbourne%20Social%20Club,,https://www.pint-prices.com/borough-results/Havering
borough_embedded_map_data_raw,City of London,All Bar One Butlers Wharf,All Bar One Butlers Wharf,"34 Shad Thames, Butlers Wharf, London, UK",51.5033,-0.07267,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/34%20Shad%20Thames%2C%20Butlers%20Wharf%2C%20London%2C%20UK/All%20Bar%20One%20Butlers%20Wharf,,https://www.pint-prices.com/borough-results/City%20of%20London
borough_embedded_map_data_raw,City of London,All Bar One Cannon Street,All Bar One Cannon Street,"103 Cannon Street, , London, UK",51.5117,-0.089899,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/103%20Cannon%20Street%2C%20%2C%20London%2C%20UK/All%20Bar%20One%20Cannon%20Street,,https://www.pint-prices.com/borough-results/City%20of%20London
borough_embedded_map_data_raw,City of London,All Bar One Houndsditch,All Bar One Houndsditch,"106-107 Houndsditch, , London, UK",51.5159,-0.079415,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/106-107%20Houndsditch%2C%20%2C%20London%2C%20UK/All%20Bar%20One%20Houndsditch,,https://www.pint-prices.com/borough-results/City%20of%20London
borough_embedded_map_data_raw,City of London,All Bar One Moorgate,All Bar One Moorgate,"127 Finsbury Pavement, , London, UK",51.5203,-0.087662,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/127%20Finsbury%20Pavement%2C%20%2C%20London%2C%20UK/All%20Bar%20One%20Moorgate,,https://www.pint-prices.com/borough-results/City%20of%20London
borough_embedded_map_data_raw,City of London,All Bar One Tower of London,All Bar One Tower of London,"14 Byward Street, , London, UK",51.5097,-0.079287,,,,,,,,,,,,,,,,,,,https://www.pint-prices.com/pub/14%20Byward%20Street%2C%20%2C%20London%2C%20UK/All%20Bar%20One%20Tower%20of%20London,,https://www.pint-prices.com/borough-results/City%20of%20London
