pub_name,address,phone_number,latitude,longitude,pint_position_for_pub,pint_name,price_text,price_gbp,pub_url,scraped_at
The Black Bull Inn - JD Wetherspoon,"107 High St, Bangor LL57 1NS",,53.2245,-4.12896,1,GREENE KING IPA,£1.79,1.79,"https://www.pint-prices.com/pub/%20107%20High%20St,%20Bangor%20LL57%201NS/The%20Black%20Bull%20Inn%20-%20JD%20Wetherspoon",2026-07-03T23:10:47+00:00
Tollington Arms,"115 Hornsey Rd, London N7 6DN",,51.557,-0.112178,1,SAN MIGUEL,£5.40,5.4,"https://www.pint-prices.com/pub/%20115%20Hornsey%20Rd,%20London%20N7%206DN/Tollington%20Arms",2026-07-03T23:10:47+00:00
Tufnell Park Tavern,"162 Tufnell Pk Rd, London N7 0EE",,51.5577,-0.132228,1,VICTORIA MALAGA,£6.70,6.7,"https://www.pint-prices.com/pub/%20162%20Tufnell%20Pk%20Rd,%20London%20N7%200EE/Tufnell%20Park%20Tavern",2026-07-03T23:10:47+00:00
Salt Quay,"163 Rotherhithe St, London SE16 5QU",,51.5046,-0.0475652,1,ESTRELLA,£7.00,7.0,"https://www.pint-prices.com/pub/%20163%20Rotherhithe%20St,%20London%20SE16%205QU/Salt%20Quay",2026-07-03T23:10:47+00:00
"Market Halls, Victoria","191 Victoria St, London SW1E 5NE",,51.4964,-0.144259,1,CAMDEN HELLS,£7.00,7.0,"https://www.pint-prices.com/pub/%20191%20Victoria%20St,%20London%20SW1E%205NE/Market%20Halls,%20Victoria%20",2026-07-03T23:10:47+00:00
The Regent,"21 Chestnut Grove, London SW12 8JB",,51.4441,-0.15378,1,GUINNESS,£6.80,6.8,"https://www.pint-prices.com/pub/%2021%20Chestnut%20Grove,%20London%20SW12%208JB/The%20Regent",2026-07-03T23:10:47+00:00
The Bull & Gate,"389 Kentish Town Rd, London NW5 2TJ",,51.5518,-0.141566,1,GUINNESS,£6.95,6.95,"https://www.pint-prices.com/pub/%20389%20Kentish%20Town%20Rd,%20London%20NW5%202TJ/The%20Bull%20%26%20Gate",2026-07-03T23:10:47+00:00
Jones’ Pizza,"42 Holyhead Rd, Bangor LL57 2EU",,53.2274,-4.13416,1,TUDNO PILSNER,£5.80,5.8,"https://www.pint-prices.com/pub/%2042%20Holyhead%20Rd,%20Bangor%20LL57%202EU/Jones%E2%80%99%20Pizza",2026-07-03T23:10:47+00:00
The Anglesey Arms,"Harbour Front, Caernarfon LL55 1SG",,53.1397,-4.27838,1,WREXHAM LAGER,£5.00,5.0,"https://www.pint-prices.com/pub/%20Harbour%20Front,%20Caernarfon%20LL55%201SG/The%20Anglesey%20Arms",2026-07-03T23:10:47+00:00
Springfield Tavern,THE SPRINGFIELD TAVERN 133 BOUNDS GREEN ROAD LONDON N11 2PP,,51.6055,-0.122765,1,GUINNESS,£5.25,5.25,https://www.pint-prices.com/pub/%20THE%20SPRINGFIELD%20TAVERN%20133%20BOUNDS%20GREEN%20ROAD%20LONDON%20N11%202PP/Springfield%20Tavern,2026-07-03T23:10:47+00:00
Springfield Tavern,THE SPRINGFIELD TAVERN 133 BOUNDS GREEN ROAD LONDON N11 2PP,,51.6055,-0.122765,2,BIRRA MORETTI,£5.25,5.25,https://www.pint-prices.com/pub/%20THE%20SPRINGFIELD%20TAVERN%20133%20BOUNDS%20GREEN%20ROAD%20LONDON%20N11%202PP/Springfield%20Tavern,2026-07-03T23:10:47+00:00
Brewdog Waterloo,"01 The Sidings, London SE1 7BH",🌐 https://www.brewdog.com/uk/brewdog-waterloo 🍽️ Food available 🍹 Cocktails available ☀️ Beer garden available ⏰ Happy hour,51.5023,-0.115402,1,LOST LAGER,£7.10,7.1,"https://www.pint-prices.com/pub/01%20The%20Sidings,%20London%20SE1%207BH/Brewdog%20Waterloo",2026-07-03T23:10:47+00:00
The Britannia,"1 Allen St, London W8 6UX",🌐 https://www.britanniakensington.co.uk/ 🍽️ Food available ⚽ Live sports shown ❓ Pub quiz available,51.4986,-0.195455,1,PRAVHA,£6.10,6.1,"https://www.pint-prices.com/pub/1%20Allen%20St,%20London%20W8%206UX/The%20Britannia",2026-07-03T23:10:47+00:00
The Oyster Shed,"1 Angel Ln, London EC4R 3AB, UK",020 7256 3240 🌐 https://www.oystershed.co.uk/ 🍽️ Food available ☀️ Beer garden available 😎 Cool place,51.5099,-0.089692,1,PRAVHA,£6.20,6.2,"https://www.pint-prices.com/pub/1%20Angel%20Ln,%20London%20EC4R%203AB,%20UK/The%20Oyster%20Shed",2026-07-03T23:10:47+00:00
The Oyster Shed,"1 Angel Ln, London EC4R 3AB, UK",020 7256 3240 🌐 https://www.oystershed.co.uk/ 🍽️ Food available ☀️ Beer garden available 😎 Cool place,51.5099,-0.089692,2,CORONA,£6.80,6.8,"https://www.pint-prices.com/pub/1%20Angel%20Ln,%20London%20EC4R%203AB,%20UK/The%20Oyster%20Shed",2026-07-03T23:10:47+00:00
The Boleyn Tavern,"1 Barking Rd, London E6 1PW",🌐 https://boleyntavern.co.uk/ 🍽️ Food available ☀️ Beer garden available,51.5304,0.03809,1,PILLARS PILSNER,£5.40,5.4,"https://www.pint-prices.com/pub/1%20Barking%20Rd,%20London%20E6%201PW/The%20Boleyn%20Tavern",2026-07-03T23:10:47+00:00
The Beckton Arms,1 Beckton Road Canning Town Royal Docks E16 1PU,,51.5179,0.0132379,1,CARLSBERG,£3.60,3.6,https://www.pint-prices.com/pub/1%20Beckton%20Road%20Canning%20Town%20Royal%20Docks%20E16%201PU/The%20Beckton%20Arms,2026-07-03T23:10:47+00:00
The Saint,"1 Bow Churchyard, London EC4M 9DQ",🌐 https://www.thesaint-bow.co.uk/ 🍽️ Food available 🍹 Cocktails available ☀️ Beer garden available,51.5135,-0.0940593,1,GUINNESS,£6.95,6.95,"https://www.pint-prices.com/pub/1%20Bow%20Churchyard,%20London%20EC4M%209DQ/The%20Saint",2026-07-03T23:10:47+00:00
The Saint,"1 Bow Churchyard, London EC4M 9DQ",🌐 https://www.thesaint-bow.co.uk/ 🍽️ Food available 🍹 Cocktails available ☀️ Beer garden available,51.5135,-0.0940593,2,ASAHI,£7.40,7.4,"https://www.pint-prices.com/pub/1%20Bow%20Churchyard,%20London%20EC4M%209DQ/The%20Saint",2026-07-03T23:10:47+00:00
The Saint,"1 Bow Churchyard, London EC4M 9DQ",🌐 https://www.thesaint-bow.co.uk/ 🍽️ Food available 🍹 Cocktails available ☀️ Beer garden available,51.5135,-0.0940593,3,PERONI,£7.40,7.4,"https://www.pint-prices.com/pub/1%20Bow%20Churchyard,%20London%20EC4M%209DQ/The%20Saint",2026-07-03T23:10:47+00:00
The Belle Vue,"1 Clapham Common South Side, London SW4 7AA",2074989473 🌐 https://www.bellevueclapham.com/ 🍽️ Food available 🍹 Cocktails available ⚽ Live sports shown 🎸 Live music ❓ Pub quiz available,51.4618,-0.137634,1,AMSTEL,£6.00,6.0,"https://www.pint-prices.com/pub/1%20Clapham%20Common%20South%20Side,%20London%20SW4%207AA/The%20Belle%20Vue",2026-07-03T23:10:47+00:00
The Belle Vue,"1 Clapham Common South Side, London SW4 7AA",2074989473 🌐 https://www.bellevueclapham.com/ 🍽️ Food available 🍹 Cocktails available ⚽ Live sports shown 🎸 Live music ❓ Pub quiz available,51.4618,-0.137634,2,GUINNESS,£6.60,6.6,"https://www.pint-prices.com/pub/1%20Clapham%20Common%20South%20Side,%20London%20SW4%207AA/The%20Belle%20Vue",2026-07-03T23:10:47+00:00
Honest Burger Tower Hill,"1 Commodity Quay, London E1W 1AZ",🌐 https://www.honestburgers.co.uk/locations/st-katharine-docks/ 🍽️ Food available,51.5081,-0.0719444,1,GUINNESS,£5.80,5.8,"https://www.pint-prices.com/pub/1%20Commodity%20Quay,%20London%20E1W%201AZ/Honest%20Burger%20Tower%20Hill",2026-07-03T23:10:47+00:00
Honest Burger Tower Hill,"1 Commodity Quay, London E1W 1AZ",🌐 https://www.honestburgers.co.uk/locations/st-katharine-docks/ 🍽️ Food available,51.5081,-0.0719444,2,BROOKLYN PILSNER,£5.90,5.9,"https://www.pint-prices.com/pub/1%20Commodity%20Quay,%20London%20E1W%201AZ/Honest%20Burger%20Tower%20Hill",2026-07-03T23:10:47+00:00
Queen of Hoxton,"1 Curtain Rd, London EC2A 3JX, UK",020 7422 0958 🌐 http://www.queenofhoxton.com/ 🍽️ Food available ☀️ Beer garden available 🎸 Live music,51.5222,-0.0811459,1,AMSTEL,£6.50,6.5,"https://www.pint-prices.com/pub/1%20Curtain%20Rd,%20London%20EC2A%203JX,%20UK/Queen%20of%20Hoxton",2026-07-03T23:10:47+00:00
Red Lion,"1 Eldon Street, EC2M 7LS",🌐 https://www.greeneking.co.uk/pubs/greater-london/red-lion 🍽️ Food available 🍹 Cocktails available,51.5188,-0.0860007,1,AMSTEL,£6.15,6.15,"https://www.pint-prices.com/pub/1%20Eldon%20Street,%20EC2M%207LS/Red%20Lion",2026-07-03T23:10:47+00:00
Red Lion,"1 Eldon Street, EC2M 7LS",🌐 https://www.greeneking.co.uk/pubs/greater-london/red-lion 🍽️ Food available 🍹 Cocktails available,51.5188,-0.0860007,2,GUINNESS,£6.30,6.3,"https://www.pint-prices.com/pub/1%20Eldon%20Street,%20EC2M%207LS/Red%20Lion",2026-07-03T23:10:47+00:00
Red Lion,"1 Eldon Street, EC2M 7LS",🌐 https://www.greeneking.co.uk/pubs/greater-london/red-lion 🍽️ Food available 🍹 Cocktails available,51.5188,-0.0860007,3,ESTRELLA,£6.75,6.75,"https://www.pint-prices.com/pub/1%20Eldon%20Street,%20EC2M%207LS/Red%20Lion",2026-07-03T23:10:47+00:00
Red Lion,"1 Eldon Street, EC2M 7LS",🌐 https://www.greeneking.co.uk/pubs/greater-london/red-lion 🍽️ Food available 🍹 Cocktails available,51.5188,-0.0860007,4,BIRRA MORETTI,£7.05,7.05,"https://www.pint-prices.com/pub/1%20Eldon%20Street,%20EC2M%207LS/Red%20Lion",2026-07-03T23:10:47+00:00
Red Lion,"1 Eldon Street, EC2M 7LS",🌐 https://www.greeneking.co.uk/pubs/greater-london/red-lion 🍽️ Food available 🍹 Cocktails available,51.5188,-0.0860007,5,NECK OIL,£7.40,7.4,"https://www.pint-prices.com/pub/1%20Eldon%20Street,%20EC2M%207LS/Red%20Lion",2026-07-03T23:10:47+00:00
Red Lion,"1 Eldon Street, EC2M 7LS",🌐 https://www.greeneking.co.uk/pubs/greater-london/red-lion 🍽️ Food available 🍹 Cocktails available,51.5188,-0.0860007,6,PERONI,£7.40,7.4,"https://www.pint-prices.com/pub/1%20Eldon%20Street,%20EC2M%207LS/Red%20Lion",2026-07-03T23:10:47+00:00
The Swan,"1 Evershed Walk, 119 Acton Ln, Chiswick, London W4 5HH",🌐 https://www.theswanchiswick.co.uk/ 🍽️ Food available ☀️ Beer garden available,51.4971,-0.265808,1,ASAHI,£7.20,7.2,"https://www.pint-prices.com/pub/1%20Evershed%20Walk,%20119%20Acton%20Ln,%20Chiswick,%20London%20W4%205HH/The%20Swan",2026-07-03T23:10:47+00:00
Coach & Horses,"1 Great Malborough Street, W1F 7HG",🌐 www.greeneking.co.uk 🍽️ Food available ⚽ Live sports shown,51.5149,-0.137432,1,AMSTEL,£6.15,6.15,"https://www.pint-prices.com/pub/1%20Great%20Malborough%20Street,%20W1F%207HG/Coach%20%26%20Horses",2026-07-03T23:10:47+00:00
Coach & Horses,"1 Great Malborough Street, W1F 7HG",🌐 www.greeneking.co.uk 🍽️ Food available ⚽ Live sports shown,51.5149,-0.137432,2,GUINNESS,£6.35,6.35,"https://www.pint-prices.com/pub/1%20Great%20Malborough%20Street,%20W1F%207HG/Coach%20%26%20Horses",2026-07-03T23:10:47+00:00
Coach & Horses,"1 Great Malborough Street, W1F 7HG",🌐 www.greeneking.co.uk 🍽️ Food available ⚽ Live sports shown,51.5149,-0.137432,3,CORONA,£6.90,6.9,"https://www.pint-prices.com/pub/1%20Great%20Malborough%20Street,%20W1F%207HG/Coach%20%26%20Horses",2026-07-03T23:10:47+00:00
Coach & Horses,"1 Great Malborough Street, W1F 7HG",🌐 www.greeneking.co.uk 🍽️ Food available ⚽ Live sports shown,51.5149,-0.137432,4,MADRI,£6.95,6.95,"https://www.pint-prices.com/pub/1%20Great%20Malborough%20Street,%20W1F%207HG/Coach%20%26%20Horses",2026-07-03T23:10:47+00:00
Coach & Horses,"1 Great Malborough Street, W1F 7HG",🌐 www.greeneking.co.uk 🍽️ Food available ⚽ Live sports shown,51.5149,-0.137432,5,ESTRELLA,£6.95,6.95,"https://www.pint-prices.com/pub/1%20Great%20Malborough%20Street,%20W1F%207HG/Coach%20%26%20Horses",2026-07-03T23:10:47+00:00
Coach & Horses,"1 Great Malborough Street, W1F 7HG",🌐 www.greeneking.co.uk 🍽️ Food available ⚽ Live sports shown,51.5149,-0.137432,6,NECK OIL,£7.25,7.25,"https://www.pint-prices.com/pub/1%20Great%20Malborough%20Street,%20W1F%207HG/Coach%20%26%20Horses",2026-07-03T23:10:47+00:00
