beverage_type,run_id,price_id,pub_id,pub_name,rank,chain_name,area,website,source_url,source_type,menu_page_title,beverage_category,beverage_subcategory,beverage_name,serving_size,unit_volume_ml,abv,is_alcoholic,base_price_gbp,price_options_gbp,bottle_price_gbp,happy_hour_price_gbp,discount_type,discount_desc,discount_days,discount_time_range,currency,price_observed_date,source_observed_at,parse_confidence,raw_context,parser_version
alcoholic,20260707095307,london-001-golden-fleece-london-england-html-price-0001,london-001-golden-fleece-london-england-html,Golden Fleece,1,Greene King,,greeneking.co.uk,https://www.greeneking.co.uk/pubs/greater-london/golden-fleece/menu,official_or_menu_link,"Menu | The Golden Fleece, Manor Park",Wine,Wine (19),"Hawk Ridge White, Spain",bottle,,11.5,true,5.00,5.00 / 5.40 / 7.40,,,,,,,GBP,2026-07-07,2026-07-07T09:53:07.214Z,0.82,"#### Hawk Ridge White, Spain Refreshing and crisp with apple and peach flavours, 11.5% glass £5.00 / £5.40 / £7.40 bottle £19.95 #### Kumi Chenin Blanc, South Africa",pubmaxx-firecrawl-v1
alcoholic,20260707095307,london-001-golden-fleece-london-england-html-price-0002,london-001-golden-fleece-london-england-html,Golden Fleece,1,Greene King,,greeneking.co.uk,https://www.greeneking.co.uk/pubs/greater-london/golden-fleece/menu,official_or_menu_link,"Menu | The Golden Fleece, Manor Park",Wine,Wine (19),"Hawk Ridge White, Spain",bottle,,13.5,true,19.95,19.95,19.95,,,,,,GBP,2026-07-07,2026-07-07T09:53:07.214Z,0.82,"glass £5.00 / £5.40 / £7.40 bottle £19.95 #### Kumi Chenin Blanc, South Africa Easy drinking with refreshing ripe melon and citrus fruit notes, 13.5% glass",pubmaxx-firecrawl-v1
alcoholic,20260707095307,london-001-golden-fleece-london-england-html-price-0003,london-001-golden-fleece-london-england-html,Golden Fleece,1,Greene King,,greeneking.co.uk,https://www.greeneking.co.uk/pubs/greater-london/golden-fleece/menu,official_or_menu_link,"Menu | The Golden Fleece, Manor Park",Wine,Wine (19),"Kumi Chenin Blanc, South Africa",bottle,,13.5,true,5.10,5.10 / 5.55 / 7.55,,,,,,,GBP,2026-07-07,2026-07-07T09:53:07.214Z,0.82,"#### Kumi Chenin Blanc, South Africa Easy drinking with refreshing ripe melon and citrus fruit notes, 13.5% glass £5.10 / £5.55 / £7.55 bottle £20.45 #### Chardonnay, Dreamweaver, Australia",pubmaxx-firecrawl-v1
alcoholic,20260707095307,london-001-golden-fleece-london-england-html-price-0004,london-001-golden-fleece-london-england-html,Golden Fleece,1,Greene King,,greeneking.co.uk,https://www.greeneking.co.uk/pubs/greater-london/golden-fleece/menu,official_or_menu_link,"Menu | The Golden Fleece, Manor Park",Wine,Wine (19),"Kumi Chenin Blanc, South Africa",bottle,,11.0,true,20.45,20.45,20.45,,,,,,GBP,2026-07-07,2026-07-07T09:53:07.214Z,0.82,"glass £5.10 / £5.55 / £7.55 bottle £20.45 #### Chardonnay, Dreamweaver, Australia Peach and tropical fruits with a hint of vanilla. 11.0% glass",pubmaxx-firecrawl-v1
alcoholic,20260707095307,london-001-golden-fleece-london-england-html-price-0005,london-001-golden-fleece-london-england-html,Golden Fleece,1,Greene King,,greeneking.co.uk,https://www.greeneking.co.uk/pubs/greater-london/golden-fleece/menu,official_or_menu_link,"Menu | The Golden Fleece, Manor Park",Wine,Wine (19),"Chardonnay, Dreamweaver, Australia",bottle,,11.0,true,5.25,5.25 / 5.65 / 7.75,,,,,,,GBP,2026-07-07,2026-07-07T09:53:07.214Z,0.82,"#### Chardonnay, Dreamweaver, Australia Peach and tropical fruits with a hint of vanilla. 11.0% glass £5.25 / £5.65 / £7.75 bottle £20.95 #### Pinot Grigio DOC delle Venezie, Borelli, Italy",pubmaxx-firecrawl-v1
alcoholic,20260707095307,london-001-golden-fleece-london-england-html-price-0006,london-001-golden-fleece-london-england-html,Golden Fleece,1,Greene King,,greeneking.co.uk,https://www.greeneking.co.uk/pubs/greater-london/golden-fleece/menu,official_or_menu_link,"Menu | The Golden Fleece, Manor Park",Wine,Wine (19),"Chardonnay, Dreamweaver, Australia",bottle,,10.5,true,20.95,20.95,20.95,,,,,,GBP,2026-07-07,2026-07-07T09:53:07.214Z,0.82,"glass £5.25 / £5.65 / £7.75 bottle £20.95 #### Pinot Grigio DOC delle Venezie, Borelli, Italy Wonderful aromas of ripe apples and pears, rich juicy mid palate, with flavours of white peaches and elderflower, with a lovely crisp gooseberry note to finish, 10.5% glass",pubmaxx-firecrawl-v1
alcoholic,20260707095307,london-001-golden-fleece-london-england-html-price-0007,london-001-golden-fleece-london-england-html,Golden Fleece,1,Greene King,,greeneking.co.uk,https://www.greeneking.co.uk/pubs/greater-london/golden-fleece/menu,official_or_menu_link,"Menu | The Golden Fleece, Manor Park",Wine,Wine (19),"Pinot Grigio DOC delle Venezie, Borelli, Italy",bottle,,10.5,true,5.35,5.35 / 5.80 / 7.95,,,,,,,GBP,2026-07-07,2026-07-07T09:53:07.214Z,0.82,"#### Pinot Grigio DOC delle Venezie, Borelli, Italy Wonderful aromas of ripe apples and pears, rich juicy mid palate, with flavours of white peaches and elderflower, with a lovely crisp gooseberry note to finish, 10.5% glass £5.35 / £5.80 / £7.95 bottle £21.45 #### Marlborough Sauvignon Blanc, New Zealand",pubmaxx-firecrawl-v1
alcoholic,20260707095307,london-001-golden-fleece-london-england-html-price-0008,london-001-golden-fleece-london-england-html,Golden Fleece,1,Greene King,,greeneking.co.uk,https://www.greeneking.co.uk/pubs/greater-london/golden-fleece/menu,official_or_menu_link,"Menu | The Golden Fleece, Manor Park",Wine,Wine (19),"Pinot Grigio DOC delle Venezie, Borelli, Italy",bottle,,12.5,true,21.45,21.45,21.45,,,,,,GBP,2026-07-07,2026-07-07T09:53:07.214Z,0.82,"glass £5.35 / £5.80 / £7.95 bottle £21.45 #### Marlborough Sauvignon Blanc, New Zealand Bright and fresh, with aromas and flavours of citrus fruit, peach and gooseberry. A delicately balanced wine with a refreshing finish, 12.5% glass",pubmaxx-firecrawl-v1
alcoholic,20260707095307,london-001-golden-fleece-london-england-html-price-0009,london-001-golden-fleece-london-england-html,Golden Fleece,1,Greene King,,greeneking.co.uk,https://www.greeneking.co.uk/pubs/greater-london/golden-fleece/menu,official_or_menu_link,"Menu | The Golden Fleece, Manor Park",Wine,Wine (19),"Marlborough Sauvignon Blanc, New Zealand",bottle,,12.5,true,5.60,5.60 / 6.10 / 8.30,,,,,,,GBP,2026-07-07,2026-07-07T09:53:07.214Z,0.82,"#### Marlborough Sauvignon Blanc, New Zealand Bright and fresh, with aromas and flavours of citrus fruit, peach and gooseberry. A delicately balanced wine with a refreshing finish, 12.5% glass £5.60 / £6.10 / £8.30 bottle £22.45 #### Hawk Ridge Red, Spain",pubmaxx-firecrawl-v1
alcoholic,20260707095307,london-001-golden-fleece-london-england-html-price-0010,london-001-golden-fleece-london-england-html,Golden Fleece,1,Greene King,,greeneking.co.uk,https://www.greeneking.co.uk/pubs/greater-london/golden-fleece/menu,official_or_menu_link,"Menu | The Golden Fleece, Manor Park",Wine,Wine (19),"Marlborough Sauvignon Blanc, New Zealand",bottle,,11.5,true,22.45,22.45,22.45,,,,,,GBP,2026-07-07,2026-07-07T09:53:07.214Z,0.82,"glass £5.60 / £6.10 / £8.30 bottle £22.45 #### Hawk Ridge Red, Spain Soft, juicy and easy drinking with berry fruits and a hint of spice, 11.5% glass",pubmaxx-firecrawl-v1
alcoholic,20260707095307,london-001-golden-fleece-london-england-html-price-0011,london-001-golden-fleece-london-england-html,Golden Fleece,1,Greene King,,greeneking.co.uk,https://www.greeneking.co.uk/pubs/greater-london/golden-fleece/menu,official_or_menu_link,"Menu | The Golden Fleece, Manor Park",Wine,Wine (19),"Hawk Ridge Red, Spain",bottle,,11.5,true,5.00,5.00 / 5.40 / 7.40,,,,,,,GBP,2026-07-07,2026-07-07T09:53:07.214Z,0.82,"#### Hawk Ridge Red, Spain Soft, juicy and easy drinking with berry fruits and a hint of spice, 11.5% glass £5.00 / £5.40 / £7.40 bottle £19.95 #### Shiraz, Dreamweaver, Australia",pubmaxx-firecrawl-v1
